Winner,Client,Survey,Region,Won/Lost,Bid Submitted,Total Direct Cost,Total Revenue, GP$ ,GM%,Bid_Node_Type,Bid_Node_Count,Bid_Duration,Daily Overhead,Total Overhead,Daily Depreciation,Total Depreciation,EBIT$,EBIT%,EBIT$/Day,Taxes,Net $,Net %,Net/Day
SAE,Total,Egina,AMME,Lost,1-Mar-19,"$6,472,727 ","$7,272,727 ","$800,000 ",11.00%,,,,,,,,,,,,,,
Shearwater,Petrobras,Jubarte,NSA,Lost,1-Mar-20,"$96,000,000 ","$128,000,000 ","$32,000,000 ",25.00%,ZXPLR,3500,102,"$38,000 ","$3,876,000 ","$12,334 ","$1,258,068 ","$26,865,932 ",21%,"$263,391 ",,"$26,865,932.00 ",21.00%,"$263,391 "
AGS,CNOOC,Scott,,Lost,1-Jun-20,"$7,933,333 ","$9,333,333 ","$1,400,000 ",15.00%,MASS,3500,48,"$38,000 ","$1,824,000 ","$9,631 ","$462,288 ","($886,288.00)",-9%,"($18,464)",,"($886,288.00)",-9.50%,"($18,464)"
PXGEO,Petrobras,Lula,NSA,Lost,1-Oct-20,"$63,777,778 ","$77,777,778 ","$14,000,000 ",18.00%,ZXPLR,4000,211,"$38,000 ","$8,018,000 ","$13,679 ","$2,886,269 ","$3,095,731.00 ",4%,"$14,672 ",,"$3,095,731.00 ",4.00%,"$14,672 "
Shearwater,Aker BP,Ivar Aasen,Europe,Lost,1-Jan-21,"$5,272,727 ","$7,272,727 ","$2,000,000 ",27.50%,Z700,10100,35,"$33,750 ","$1,181,250 ","$4,173 ","$146,055 ","$672,695.00 ",9%,"$19,220 ", $-   ,"$672,695.00 ",9.20%,"$19,220 "
PXGEO,BP,Schiehallion,Europe,Lost,1-Apr-21,"$17,000,000 ","$20,000,000 ","$3,000,000 ",15.00%,Z700,12000,50,"$33,750 ","$1,687,500 ","$4,173 ","$208,650 ","$1,103,850.00 ",6%,"$22,077 ", $-   ,"$1,103,850.00 ",5.50%,"$22,077 "
PXGEO,Petrobras,Itapu,NSA,Lost,1-Aug-21,"$36,400,000 ","$45,500,000 ","$9,100,000 ",20.00%,ZXPLR,3000,99,"$38,000 ","$3,762,000 ","$10,989 ","$1,087,911 ","$4,250,089.00 ",9%,"$42,930 ",,"$4,250,089.00 ",9.30%,"$42,930 "
Shearwater,Equinor,Krafla,Europe,Lost,1-Dec-21,"$16,362,500 ","$24,062,500 ","$7,700,000 ",32.00%,Z700,14000,93,"$33,750 ","$3,138,750 ","$4,173 ","$388,089 ","$4,173,161.00 ",17%,"$44,873 ", $-   ,"$4,173,161.00 ",17.30%,"$44,873 "
PXGEO,Petrobras,Aram,NSA,Lost,1-Mar-22,"$50,800,000 ","$63,500,000 ","$12,700,000 ",20.00%,ZXPLR,3500,131,"$38,000 ","$4,978,000 ","$12,334 ","$1,615,754 ","$6,106,246.00 ",10%,"$46,613 ",,"$6,106,246.00 ",9.60%,"$46,613 "
Shearwater,Petrobras,Iara,NSA,Lost,1-Mar-22,"$63,900,000 ","$85,200,000 ","$21,300,000 ",25.00%,ZXPLR,3500,172,"$38,000 ","$6,536,000 ","$12,334 ","$2,121,448 ","$12,642,552.00 ",15%,"$73,503 ",,"$12,642,552.00 ",14.80%,"$73,503 "
