Unique_Op_ID,Index,Bid_Status,Last_Update,Update_Comment,Bid_Type,Client,Project,Region,Country,Water_Depth_Min,Water_Depth_Max,Survey_Type,Date_Received,Date_Submitted,Node_Type,Crew Node
201903_RFP_TOTA_EGI_NIG_,,Lost,10-Oct-2024,Lost,RFP,Total,Egina,WAF,Nigeria,,,,1-Mar-2019,,,
201907_RFP_PETR_CAR_BRA_,,Lost,10-Oct-2024,Lost,RFP,Petrobras,Carcara,SAM,Brazil,,,,1-Jul-2019,,,
201912_RFP_ENI_AGO_NIG_,,Award,10-Oct-2024,Won,RFP,ENI,Agogo,WAF,Nigeria,,,,1-Dec-2019,,,
202001_RFP_BHP_TRI_MEX_,,Award,10-Oct-2024,Won,RFP,BHP,Trion,GOM,Mexico,,,,1-Jan-2020,,,
202001_RFP_BP_CLA_UK_NOAR,34,Award,10-Oct-2024,"Won, unconventional tender",RFP,BP,Clair,North Sea,UK,,,NOAR,1-Jan-2020,?,,
202003_RFP_PETR_JUB_BRA_,,Lost,10-Oct-2024,Lost,RFP,Petrobras,Jubarte,SAM,Brazil,,,,1-Mar-2020,,,
202005_RFP_PETR_SAP_BRA_,,Lost,10-Oct-2024,Lost,RFP,Petrobras,Sapinhoa,SAM,Brazil,,,,1-May-2020,,,
202006_RFP_CNOO_SCO__,,Lost,10-Oct-2024,Lost,RFP,CNOOC,Scott?,,,,,,1-Jun-2020,,,
202008_RFP_SHEL_WHA_USA_,,Award,10-Oct-2024,Won,RFP,Shell ,Whale,GOM,USA,,,,1-Aug-2020,,,
202008_RFP_SHEL_LEO_USA_,,Award,10-Oct-2024,Won,RFP,Shell ,Leopard,GOM,USA,,,,1-Aug-2020,,,
202010_RFP_PETR_LUL_BRA_,,Lost,10-Oct-2024,Lost,RFP,Petrobras,Lula,SAM,Brazil,,,,1-Oct-2020,,,
202011_RFP_BP_PAL_USA_,,Award,10-Oct-2024,Won,RFP,BP,Paleogene,GOM,USA,,,,1-Nov-2020,,,
202012_RFP_SLB_ENG_USA_,,Award,10-Oct-2024,Won,RFP,SLB,Engagement 2,GOM,USA,,,,1-Dec-2020,,,
202101_RFP_VAR _BAL__,,Award,10-Oct-2024,Won,RFP,Var Energi,Balder,,,,,,1-Jan-2021,,,
202101_RFP_AKER_VAL__,,Award,10-Oct-2024,Won,RFP,AkerBP,Valhall,,,,,,1-Jan-2021,,,
202101_RFP_AKER_IVA_NOR_,,Lost,10-Oct-2024,Lost,RFP,AkerBP,Ivar Aasen,North Sea,Norway,,,,1-Jan-2021,,,
202102_RFP_TGS_NOA_NOR_NOAR,50,Award,10-Oct-2024,Won,RFP,TGS,NOAKA 2021,North Sea,Norway,,,NOAR,1-Feb-2021,,,
202104_RFP_ONGC_PAN_IND_NOAR,51,Award,10-Oct-2024,Won,RFP,ONGC,Panna Mutka,APAC,India,,,NOAR,1-Apr-2021,,,
202104_RFP_BP_SCH_UK_ROV,53,Lost,10-Oct-2024,Lost to PXGEO,RFP,BP,Schiehallion,North Sea,UK,,,ROV,1-Apr-2021,,,
202109_RFP_TOTA_CUL_UK_NOAR,52,Award,10-Oct-2024,Won,RFP,Total,Culzean,North Sea,UK,,,NOAR,1-Sep-2021,,Z700,
202109_RFP_BP_ATL_USA_,,Award,10-Oct-2024,Won,RFP,BP,Atlantis,GOM,USA,,,,1-Sep-2021,,,
202109_RFP_BP_MAD_USA_,,Award,10-Oct-2024,Won,RFP,BP,Mad Dog,GOM,USA,,,,1-Sep-2021,,,
202109_RFP_BP_ATO_EGY_ROV,,Award,10-Oct-2024,Won,RFP,BP,Atoll,Middle East,Egypt,,,ROV,1-Sep-2021,,,
202109_RFP_PETR_ITA_BRA_,,Lost,10-Oct-2024,Lost,RFP,Petrobras,Itapu,SAM,Brazil,,,,1-Sep-2021,,,
202110_RFP_SHEL_MAR_USA_ROV,,Award,10-Oct-2024,Won,RFP,Shell,Mars Ursa,GOM,USA,,,ROV,1-Oct-2021,,,
202110_RFP_CHEV_AGB_NIG_ROV,,Award,10-Oct-2024,Won,RFP,Chevron,Agbami,WAF,Nigeria,1200,1800,ROV,12-Oct-2021,12-Nov-2021,,
202111_RFP_EQUI_KRA_NOR_NOAR,47,Lost,10-Oct-2024,Lost to Shearwater,RFP,Equinor,Krafla,North Sea,Norway,90,115,NOAR,15-Nov-2021,,Z700,14000
